咪咕,#genre#
CIBN骄阳剧场,http://183.131.128.233/live.hcs.cmvideo.cn:8088/ws_v/2018/cibnjdjc/cibnjdjc711/1000/index.m3u8?&encrypt=
CIBN炫佳动画,http://183.131.128.233/live.hcs.cmvideo.cn:8088/wd_r3/2018/peoplecn/cibndmpd/1000/index.m3u8?&encrypt=
CIBN经典剧场,http://183.131.128.233/live.hcs.cmvideo.cn:8088/wd_r3/peoplecn/cibnjingdianjuchang/600/index.m3u8?&encrypt=
CIBN风尚运动,http://183.131.128.233/live.hcs.cmvideo.cn:8088/migu/kailu/cibnfsyd/51/20191029/index.m3u8?&encrypt=
CIBN流金岁月,http://183.131.128.233/live.hcs.cmvideo.cn:8088/wd_r4/peoplecn/cibnshoucang/600/index.m3u8?&encrypt=
预留通道1,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229833/index.m3u8
预留通道2,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228143/index.m3u8
预留通道3,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228152/index.m3u8
咪咕体育,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228203/index.m3u8
UFC,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228264/index.m3u8
东方购物,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229588/index.m3u8
国产,#genre#
80,https://play3166.com/20201215/FK5qPyMF/index.m3u8
79,https://play3166.com/20201213/p8luxqkg/index.m3u8
78,https://play3166.com/20201213/3yGX3BdF/index.m3u8
77,https://play3166.com/20201213/ytkcDuIt/index.m3u8
76,https://play3166.com/20201208/JlCjZfIK/index.m3u8
75,https://play3166.com/20201208/cp8OcEkg/index.m3u8
74,https://play3166.com/20201208/Htg7m5qs/index.m3u8
73,https://play3166.com/20201208/2Yg2ApkA/index.m3u8
72,https://play3166.com/20201208/a7hfiF8q/index.m3u8
71,https://play3166.com/20201208/yGF72bqK/index.m3u8
70,https://play3166.com/20201201/1pcdPShS/index.m3u8
69,https://play3166.com/20201201/Qu3AFwqw/index.m3u8
68,https://play3166.com/20201201/VMvVwZHi/index.m3u8
67,https://play3166.com/20201201/HmqDAdB7/index.m3u8
66,https://play3166.com/20201126/Z5Oz1nZH/index.m3u8
65,https://play3166.com/20201126/hkfo4LbN/index.m3u8
64,https://play3166.com/20201126/NOgetduI/index.m3u8
63,https://play3166.com/20201126/KkjhfYuz/index.m3u8
62,https://play3166.com/20201126/n5KzjAPY/index.m3u8
61,https://play3166.com/20201126/nmngDpFU/index.m3u8
60,https://play3166.com/20201122/eCRhmk6K/index.m3u8
59,https://play3166.com/20201122/eyTwzrFR/index.m3u8
58,https://play3166.com/20201122/7CquAImS/index.m3u8
